Date,España,Colombia
2020-10-03 00:00:00+00:00,789932,848147
2020-10-04 00:00:00+00:00,789932,855052
2020-10-05 00:00:00+00:00,813412,862158
2020-10-06 00:00:00+00:00,825410,869808
2020-10-07 00:00:00+00:00,835901,877684
2020-10-08 00:00:00+00:00,848324,886179
2020-10-09 00:00:00+00:00,861112,894300
2020-10-10 00:00:00+00:00,861112,902747
2020-10-11 00:00:00+00:00,861112,911316
2020-10-12 00:00:00+00:00,888968,919084
2020-10-13 00:00:00+00:00,896086,924098
2020-10-14 00:00:00+00:00,908056,930159
2020-10-15 00:00:00+00:00,921374,936982
2020-10-16 00:00:00+00:00,936560,945354
2020-10-17 00:00:00+00:00,936560,952371
2020-10-18 00:00:00+00:00,936560,959572
2020-10-19 00:00:00+00:00,974449,965883
2020-10-20 00:00:00+00:00,988322,974139
2020-10-21 00:00:00+00:00,1005295,981700
2020-10-22 00:00:00+00:00,1026281,990373
2020-10-23 00:00:00+00:00,1046132,998942
2020-10-24 00:00:00+00:00,1046132,1007711
2020-10-25 00:00:00+00:00,1046132,1015885
2020-10-26 00:00:00+00:00,1098320,1025052
2020-10-27 00:00:00+00:00,1116738,1033218
2020-10-28 00:00:00+00:00,1136503,1041935
2020-10-29 00:00:00+00:00,1160083,1053122
2020-10-30 00:00:00+00:00,1185678,1063151
2020-10-31 00:00:00+00:00,1185678,1074184
2020-11-01 00:00:00+00:00,1185678,1083321
2020-11-02 00:00:00+00:00,1240697,1093256
2020-11-03 00:00:00+00:00,1259366,1099392
2020-11-04 00:00:00+00:00,1284408,1108086
2020-11-05 00:00:00+00:00,1306316,1117977
2020-11-06 00:00:00+00:00,1328832,1127733
2020-11-07 00:00:00+00:00,1328832,1136447
2020-11-08 00:00:00+00:00,1328832,1143887
2020-11-09 00:00:00+00:00,1381218,1149064
2020-11-10 00:00:00+00:00,1381218,1155356
2020-11-11 00:00:00+00:00,1417709,1165326
2020-11-12 00:00:00+00:00,1437220,1174012
2020-11-13 00:00:00+00:00,1458591,1182697
2020-11-14 00:00:00+00:00,1458591,1191634
2020-11-15 00:00:00+00:00,1458591,1198746
2020-11-16 00:00:00+00:00,1496864,1205217
2020-11-17 00:00:00+00:00,1510023,1211128
2020-11-18 00:00:00+00:00,1525341,1218003
2020-11-19 00:00:00+00:00,1541574,1225490
2020-11-20 00:00:00+00:00,1556730,1233444
2020-11-21 00:00:00+00:00,1556730,1240493
2020-11-22 00:00:00+00:00,1556730,1248417
2020-11-23 00:00:00+00:00,1582616,1254979
2020-11-24 00:00:00+00:00,1594844,1262494
2020-11-25 00:00:00+00:00,1605066,1270991
2020-11-26 00:00:00+00:00,1617355,1280487
2020-11-27 00:00:00+00:00,1628208,1290510
2020-11-28 00:00:00+00:00,1628208,1299613
2020-11-29 00:00:00+00:00,1628208,1308376
2020-11-30 00:00:00+00:00,1648187,1316806
2020-12-01 00:00:00+00:00,1656444,1324792
2020-12-02 00:00:00+00:00,1665775,1334089
2020-12-03 00:00:00+00:00,1675902,1343322
2020-12-04 00:00:00+00:00,1684647,1352607
2020-12-05 00:00:00+00:00,1684647,1362249
2020-12-06 00:00:00+00:00,1684647,1371103
2020-12-07 00:00:00+00:00,1702328,1377100
2020-12-08 00:00:00+00:00,1702328,1384610
2020-12-09 00:00:00+00:00,1712101,1392133
2020-12-10 00:00:00+00:00,1720056,1399911
2020-12-11 00:00:00+00:00,1730575,1408909
2020-12-12 00:00:00+00:00,1730575,1417072
2020-12-13 00:00:00+00:00,1730575,1425774
2020-12-14 00:00:00+00:00,1751884,1434516
2020-12-15 00:00:00+00:00,1762212,1444646
2020-12-16 00:00:00+00:00,1773290,1456599
2020-12-17 00:00:00+00:00,1785421,1468795
2020-12-18 00:00:00+00:00,1797236,1482072
2020-12-19 00:00:00+00:00,1797236,1496062
2020-12-20 00:00:00+00:00,1797236,1507222
2020-12-21 00:00:00+00:00,1819249,1518067
2020-12-22 00:00:00+00:00,1829903,1530593
2020-12-23 00:00:00+00:00,1842289,1544826
2020-12-24 00:00:00+00:00,1854951,1559766
2020-12-25 00:00:00+00:00,1854951,1574707
2020-12-26 00:00:00+00:00,1854951,1584903
2020-12-27 00:00:00+00:00,1854951,1594497
2020-12-28 00:00:00+00:00,1879413,1603807
2020-12-29 00:00:00+00:00,1893502,1614822
2020-12-30 00:00:00+00:00,1910218,1626461
